drug_kegg_id,target_ko_number
D02471,K02469
D00898,K08550
D02235,K03899
D06459,K04248
D02725,K04259
D00680,K04136
D03478,K04248
D01965,K04135
D07425,K19021
D00269,K08550
D06673,K05771
D04061,K08550
D01986,K08550
D11585,K04136
D00879,K03046
D02306,K02621
D06299,K18964
D02541,K02469
D07995,K00790
D00874,K02621
D07616,K00431
D07939,K08550
D07240,K00796
D00588,K02621
D00984,K05771
D01153,K02470
D05364,K04586
D00310,K02470
D00186,K02469
D01685,K04280
D11000,K05771
D07425,K13293
D00366,K04226
D00901,K19394
D08012,K02470
D01571,K04136
D00957,K08557
D09760,K00509
D00718,K13755
D03654,K04131
D12314,K04583
D08571,K04227
D07626,K00706
D00185,K08551
D10879,K02469
D08563,K13938
D00873,K02470
D10497,K04218
D04301,K18964
D08379,K02470
D00333,K18964
D07214,K05547
D00873,K02469
D07475,K04229
D02218,K13755
D01462,K04147
D08301,K08550
D10772,K02621
D04063,K08551
D12598,K00509
D07961,K19021
D07796,K05771
D01187,K04150
D07662,K04149
D02070,K04131
D00653,K01672
D02290,K00509
D01976,K04132
D00899,K22599
D08127,K04841
D08600,K04142
D01976,K04130
D02517,K00796
D08465,K08550
D12335,K14592
D00138,K04130
D00757,K04136
D08249,K04215
D01786,K04149
D08366,K04135
D08448,K04834
D08448,K04841
D08319,K04834
D08237,K02622
D08422,K04834
D11063,K04612
D02149,K04136
D01008,K04140
D11987,K02091
D07526,K04141
D03917,K08555
D01276,K22599
D00980,K05771
D07759,K04131
D00095,K04136
D00741,K04834
D00757,K04140
D02349,K04139
D01281,K04248
D03837,K22599
D02070,K04133
D10878,K02469
D00095,K04138
D02182,K04833
D01011,K05547
D00732,K04843
D02736,K22775
D00358,K04837
D02301,K02621
D08207,K04138
D05478,K04131
D01475,K00509
D10562,K04284
D04970,K04131
D00551,K04843
D00904,K00509
D11543,K06560
D07241,K00796
D04104,K08550
D09820,K04228
D07404,K04149
D02149,K04140
D02374,K04143
D08285,K08556
D02071,K04130
D00138,K04132
D08237,K02621
D02750,K04129
D03326,K04584
D00524,K04133
D00996,K04140
D08319,K04836
D10566,K04218
D03256,K18964
D02307,K02621
D04445,K04150
D04970,K04132
D08448,K04840
D07431,K04217
D12132,K14592
D07439,K19021
D02149,K04135
D00138,K04133
D11987,K02089
D00110,K04834
D00996,K04138
D08127,K04838
D00741,K04841
D08966,K04135
D03843,K22599
D07818,K00509
D00662,K04149
D00757,K04138
D00655,K01672
D08362,K04139
D00551,K04834
D00994,K01049
D08600,K04141
D02004,K04144
D02086,K04836
D03648,K04137
D00551,K04838
D10822,K02469
D08059,K00509
D00741,K04837
D11748,K03994
D01964,K04262
D00524,K04129
D06543,K08528
D08661,K04262
D02349,K04136
D10878,K02621
D04244,K05771
D05110,K02469
D02149,K04137
D07816,K11987
D07726,K08550
D02149,K04139
D01639,K08550
D07439,K13298
D02086,K04843
D00664,K04149
